effectName,shortDesc,fullDesc,activeDesc,TEST,indexNum,displayNum,player,accessible,inclusion,exemplarTheme,school,duration,rarity,component,inspiration,specFunc,Lite 120,Exemplar Inclusion,D#,Category,Scope,isAbjuration,isChronomancy,isConjuration,isDivination,isEnchantment,isEvocation,isIllusion,isNecromancy,isTransmutation,Cycle
Spirit of the Islands,Create an Island Spirit.,"Create a */* blue Island Spirit creature token with flying and ""* is equal to the number of Islands on the battlefield.""",,DIFF,166,166,duel,TRUE,"exemplar, custom",tokenizer,Conjuration,Instant,rare,Island Spirit,,,,t,252,Token,Player,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Basics
Robot Squires,Create X Robobulters. X is equal to the number of nontoken creatures you control. Target opponent may create Y Robobutlers. Y is equal to the number of nontoken creatures they control.,Create X 0/1 colourless Robobutler artifact creature tokens with defender. X is equal to the number of nontoken creatures you control. Target opponent may create Y 0/1 colourless Robobutler artifact creature tokens with defender. Y is equal to the number of nontoken creatures they control.,,DIFF,167,167,duel,TRUE,custom,,Conjuration,Instant,uncommon,9x Robobutler,,,,t,140,Token,"Player, Opponent",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Armour
Antici...,Draw five cards. You cannot cast spells this turn. Skip your discard phase.,,,DIFF,168,168,duel,TRUE,"lite, custom",,Divination,Turn,uncommon,,,,x,,067,Meta,Player,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,References
...pation,You can cast up to four spells this turn without paying their mana cost.,,,DIFF,169,169,duel,TRUE,"lite, custom",,Evocation,Turn,uncommon,,,,x,,069,Cards,Player,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,References
Mist Round,"Until the start of your next turn, all combat damage dealt to creatures is reduced to 0.",,Combat damage dealt to creatures is reduced to 0.,DIFF,170,170,duel,TRUE,"exemplar, custom",main,Abjuration,Round,uncommon,Reminder,,,,y,312,Buff,All,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rounders
Furnace Round,"Until the start of your next turn, all damage dealt by sorceries and instants is doubled.",,Damage dealt by sorceries and instants is doubled.,DIFF,171,171,duel,TRUE,"exemplar, custom",main,Evocation,Round,uncommon,Reminder,,,,y,329,Damage,All,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Rounders
"By The Gods Below, Make It Stop, Please!",SPECIAL EFFECT,Roll three more times on the Chaos List.,,DIFF,172,172,duel,TRUE,custom,,Enchantment,Instant,rare,,,TRUE,,,250,Wacky,Player,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Chaos
"Oh No, Not Again...",SPECIAL EFFECT,Repeat the effect of the last Chaos roll.,,DIFF,173,173,duel,TRUE,custom,,Enchantment,Instant,rare,,,TRUE,,,350,Wacky,Player,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Chaos
Assimilation,Put a Borg counter on each creature you control. Creatures with Borg counters are colorless Borg artifact creatures. Put a +1/+1 counter on each Borg you control.,,,DIFF,174,174,duel,TRUE,custom,,Transmutation,Instant,rare,,,,,,299,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,References
Zen Round,SPECIAL EFFECT,"Until the start of your next turn, each player skips their Chaos Phase.",Skip the Chaos Roll.,#REF!,175,175,duel,TRUE,"exemplar, custom",main,Abjuration,Round,rare,Reminder,,,,y,000,"Meta, Chaos",All,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chaos
"O, Canada!",Put a Canada counter on each of up to five target basic lands. Lands with Canada counters are snow lands.,,,DIFF,176,176,duel,TRUE,"exemplar, custom",main,Transmutation,Instant,uncommon,,,,,y,037,Cards,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,North
Battle Moose,Put a snow landwalk counter on target creature.,,,DIFF,177,177,duel,TRUE,"exemplar, custom",main,Transmutation,Instant,uncommon,,,,,y,330,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,North
Canadian Round,"Until the start of your next turn, whenever a source deals damage to a target, that source's controller may apologize to the target. If they do not, the damage is reduced to 0.",,"Whenever a source deals damage to a target, that source's controller may apologize to the target. If they do not, the damage is reduced to 0.",DIFF,178,178,duel,TRUE,"exemplar, custom",main,Abjuration,Round,uncommon,Reminder,,,,y,285,Wacky,All,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,North
Aggressive Alliteration,MINIGAME,"Reveal the top card of your library. Starting with yourself and proceeding in the direction of play, each player names a different card that starts with the same letter as the revealed card (no repeats). The first player who fails to name a card within 10 seconds of the previous player or who names a duplicate card loses 4 life. Put the revealed card into your hand.",,DIFF,179,179,multi,TRUE,minigame,,Divination,Instant,rare,,,,,,MG01,Damage,All,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Party
Rise of the Machines,"Put X +1/+1 counters on each noncreature artifact, where X is its converted mana cost.","Put X +1/+1 counters on each noncreature artifact, where X is its converted mana cost. Noncreature artifacts with +1/+1 counters on them have ""<z-is>0</z-is>: This permanent becomes a creature in addition to its other types until end of turn.""","Noncreature artifacts with +1/+1 counters on them have ""<z-is>0</z-is>: This permanent becomes a creature in addition to its other types until end of turn.""",DIFF,180,180,duel,TRUE,custom,,Transmutation,Ongoing,rare,,,,,,231,Cards,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,References
Phyrexian Oil Spill,Proliferate. Double the number of each kind of counter on each permanent that has counters on it.,,,DIFF,181,181,duel,TRUE,"lite, custom",,Conjuration,Instant,common,,,,x,,225,Buff,Player,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Phyrexia
Phyrexian Syrup,Put a Syrup counter on each of up to two target creatures. Proliferate.,Put a Syrup counter on each of up to two target creatures. Proliferate. Creatures with Syrup counters are delicious (Delicious creatures must be blocked if able).,,DIFF,182,182,duel,TRUE,custom,,"Transmutation, Conjuration",Instant,uncommon,,,,,,247,Buff,Player,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,North
Munchies,Put a snackwalk counter on target creature.,,,DIFF,183,183,duel,TRUE,"exemplar, custom",main,Transmutation,Instant,common,,,,,y,111,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Party
Super Chaos Round,SPECIAL EFFECT,"Until the start of your next turn, each player rolls twice during their Chaos Phase.",Roll Chaos twice.,DIFF,184,184,duel,TRUE,custom,,Enchantment,Round,rare,,,TRUE,,,300,Meta,All,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Chaos
Ryan Loves Dice,MINIGAME,"Choose up to <z-rb>1d8</z-rb> target creatures. Put <z-rb>1d6</z-rb> +1/+1 counters on each. Choose up to <z-rb>1d4</z-rb> other target creatures. Those gain +<z-rb>1d20</z-rb>/+<z-rb>1d20</z-rb> until end of turn. All players discard <z-rb>1d6</z-rb> cards, then draw <z-rb>1d8</z-rb> cards. Flip a coin.<z-fc></z-fc><ul><li>If you win the flip, all players gain <z-rb>1d10</z-rb> life.</li><li>If you lose the flip, all players lose <z-rb>2d4</z-rb> life.</li></ul>",,flip,185,185,duel,TRUE,minigame,,"Transmutation, Divination, Necromancy",Instant,rare,,Ryan N,,,,MG05,Buff,All,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Dammit Ryan
Alphabet Shield,Choose a letter. Target creature gains protection from cards beginning with that letter.,,,DIFF,186,186,duel,TRUE,custom,,"Transmutation, Abjuration",Instant,uncommon,,,,,,129,Buff,Player,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Armour
Bouncy House,Return all <z-rb>color or colorless</z-rb> permanents to their owner's hands.,,,DIFF,187,187,duel,TRUE,custom,,Abjuration,Instant,uncommon,,,,,,121,Cards,All,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dammit Joe
Painting a Target,"You may choose a color. If you do, exile all creatures target opponent controls of the chosen color. If you don't, exile all colorless creatures target opponent controls. Return each of these creatures to the battlefield at the beginning of its owner's next end step.",,,DIFF,188,188,duel,TRUE,custom,,Abjuration,Instant,rare,,,,,,223,Cards,Target Player,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dammit Joe
Classic Triplets,Add <z-is>bbb</z-is> your mana pool at the start of your first main phase. Gain 3 life. Draw 3 cards. Deal 3 damage to target creature or player. Target creature gets +3/+3 until end of turn.,,,DIFF,189,189,duel,TRUE,"exemplar, custom",main,"Evocation, Necromancy, Divination, Evocation, Transmutation",Turn,rare,,,,,y,333,Wacky,Player,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Antiquity
I'm In The DCI,"Name a nonbasic card. Ban this card for the remainder of the game. (Exile all copies of the card in play and in players' hands, graveyards, and libraries. Shuffle any libraries card was removed from.)",,,DIFF,190,190,duel,TRUE,custom,,Abjuration,Instant,rare,,,,,,391,Cards,All,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Basics
Swap Meet,Exchange a random card in your hand with a random card in target opponent's hand.,,,DIFF,191,191,duel,TRUE,"lite, custom",,Divination,Instant,common,,,,x,y,155,Cards,"Player, Opponent",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Shop'n'Swap
Dresden's Bracelet,Create a Bracelet. Put four Talisman counters on Bracelet.,"Create a colourless Bracelet artifact token with ""Remove a Talisman counter from Bracelet: Prevent all damage a source of your choice would deal to you or a planeswalker you control."" Put four Talisman counters on Bracelet.",,DIFF,192,192,duel,TRUE,custom,,"Conjuration, Abjuration",Instant,common,Bracelet,,,,,060,Token,Player,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Armour
Gravity Round,"Until the start of your next turn, all creatures with flying and any that enter the battlefield lose flying.",,Creatures with flying and any that enter the battlefield lose flying.,DIFF,193,193,duel,TRUE,"exemplar, custom",main,Transmutation,Round,uncommon,Reminder,,,,y,134,Buff,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Rounders
Minion Siphon,Each player gains 1 life for each creature they control. Deal 1 damage to each creature.,,,DIFF,194,194,duel,TRUE,custom,,Necromancy,Instant,common,,,,,,315,Damage,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Basics
Wild Flailing,"Choose a creature an opponent controls. That creature deals X damage to Y target creatures. X is equal to that creature's power, Y is equal to that creature's toughness.",,,DIFF,195,195,duel,TRUE,custom,,Enchantment,Instant,uncommon,,,,,,148,Damage,Player,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Dammit Joe
Escalating Pain,"Choose three target creatures, planeswalkers, or players. Deal 1 damage to the first target, 2 to the second, and 3 to the third.",,,DIFF,196,196,duel,TRUE,custom,,Evocation,Instant,common,,,,,,062,Damage,Player,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Basics
Increasing Health,"Choose three target players. The first target gains 1 life, the second gains 2, the third gains 3.",,,DIFF,197,197,multi,TRUE,"exemplar, custom",main,Necromancy,Instant,common,,,,,y,103,Life,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Basics
Growing Knowledge,"Choose three target players. The first target draws 1 card, the second draws 2, the third draws 3.",,,DIFF,198,198,multi,TRUE,"lite, exemplar, custom",main,Divination,Instant,common,,,,x,y,142,Cards,Player,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Basics
Rising Fury,"Choose three target creatures. Put one +1/+1 counter on the first, two +1/+1 counters on the second, three +1/+1 counters on the third.",,,DIFF,199,199,duel,TRUE,"exemplar, custom",main,Transmutation,Instant,common,,,,,y,201,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Basics
Chaos Choice,SPECIAL EFFECT,"Flip a coin<z-fc></z-fc><ul><li>If you win the flip, choose an effect on the Chaos list and resolve it.</li><li>If you lose the flip, target opponent chooses an effect on the Chaos list and resolves it.</li></ul>",,Flip,200,200,duel,TRUE,custom,,Enchantment,Instant,rare,,,TRUE,,,200,Wacky,Player,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Chaos
Recycling,Shuffle any number of creatures from your graveyard into your library. Draw a card.,,,DIFF,201,201,duel,TRUE,"lite, exemplar, custom",main,"Necromancy, Divination",Instant,uncommon,,,,x,y,339,Cards,Player,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Antiquity
Lightning Chains,Deal 2 damage to target creature or player. That player or creature's controller may pay <z-is>r</z-is> or <z-is>2</z-is> to copy this effect.,,,DIFF,202,202,duel,TRUE,custom,,Evocation,Instant,common,,,,,,328,Damage,Player,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Antiquity
Negation Round,"Until the start of your next turn, all creatures in play and any that enter the battlefield lose their abilities.",,Creatures in play and any that enter the battlefield lose their abilities.,DIFF,203,203,duel,TRUE,"exemplar, custom",main,"Abjuration, Transmutation",Round,uncommon,Reminder,,,,y,321,Cards,All,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Antiquity
Zombie Pop,Each player puts a creature from their graveyard onto the battlefield,,,DIFF,204,204,duel,TRUE,"exemplar, custom",main,Necromancy,Instant,common,,,,,y,337,Cards,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Antiquity
Price of Immortality,You get an Immortal emblem.,"You get an Immortal emblem with ""Immortal enters with <z-rb>1d3</z-rb>+1 Time counters on it. You cannot be the target of attacks. You and creatures you control gain hexproof. During your upkeep, each opponent gains life equal to twice the Time counters on Immortal and for each opponent you lose life equal to the number of Time counters on Immortal. At the beginning of your end step, remove a Time counter from Immortal. If there are no Time counters on Immortal, sacrifice it.""",,DIFF,205,205,multi,TRUE,custom,,"Conjuration, Necromancy",Instant,rare,Immortal,,,,,XX,Token,All,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Antiquity
Shield,"You may choose a color. If you do, target creature gains protection from the chosen color. If you don't, target creature gains protection from colourless.",,,DIFF,206,206,duel,TRUE,"exemplar, custom",main,"Abjuration, Transmutation",Instant,common,,,,,y,357,Buff,Creature,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Antiquity
Freebie*,"Reveal the top card of your library. If it is a permanent, you may put it into play or back on top of your library. Otherwise, lose 1 life and put it in your hand. Repeat this until a permanent is revealed.",,,DIFF,207,207,duel,TRUE,custom,,Divination,Instant,rare,,,,,,219,Cards,Player,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antiquity
Wicked Self Burn,Discard any number of cards. Target opponent discards the same number of cards.,,,DIFF,208,208,duel,TRUE,"lite, custom",,Abjuration,Instant,common,,,,x,,145,Cards,"Player, Opponent",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Antiquity
Sniper Training,Target creature digs in at range.,"Put X Caliber counters on target creature, X is equal to the creature's power. Creature's base Power becomes 0 and it gains defender and ""<z-is>t</z-is>: Deal X damage to target attacking creature, where X is the number of Caliber counters on this creature.""",,DIFF,209,209,duel,TRUE,custom,,Transmutation,Instant,rare,,,,,,XX,Buff,Creature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Antiquity
Raid the Library,"Until the start of your next turn, all players have no maximum hand size. Each player draws <z-rb>2d6</z-rb> cards.",,Players have no maximum hand size.,DIFF,210,210,duel,TRUE,"exemplar, custom",main,"Divination, Chronomancy",Round,uncommon,Reminder,,,,y,385,Cards,All,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antiquity
Luck of the Draw,"Each player names a card and then reveals the top card of their library. If they reveal the named card, they may put it onto the battlefield. Otherwise, they put the card on the bottom of their library and they lose 1 life.",,,DIFF,211,211,duel,TRUE,"exemplar, custom",complexity,Divination,Instant,uncommon,,,,,c,044,Cards,All,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antiquity
Graverobbing,Choose a creature or artifact from any graveyard and put it onto the battlefield under your control.,,,DIFF,212,212,duel,TRUE,"lite, exemplar, custom",main,Necromancy,Instant,common,,,,x,y,276,Control,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Grave
Grave Robbers,Target opponent may choose a creature or artifact from your graveyard and put it onto the battlefield under their control.,,,DIFF,213,213,duel,TRUE,"lite, custom",,Necromancy,Instant,common,,,,x,,314,Control,Opponent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Grave
Grave Robin Hood,Each player with the lowest life total may choose a creature from any graveyard and put it onto the battlefield under their control. (Ties are handled in turn order.),,,DIFF,214,214,duel,TRUE,"lite, custom",,Necromancy,Instant,uncommon,,,,x,,084,Control,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Grave
Grave Sheriff,Choose a creature or artifact from any graveyard and put it onto the battlefield under target opponent's control.,,,DIFF,215,215,duel,TRUE,"lite, custom",,Necromancy,Instant,uncommon,,,,x,,206,Control,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Grave
Group Think,Each player draws a card for each creature they control.,,,DIFF,216,216,duel,TRUE,"lite, exemplar, custom",main,Divination,Instant,uncommon,,,,x,y,196,Cards,All,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antiquity
Sorcery Grocery List,"Until the start of your next turn, whenever a player casts a sorcery they also create a Food.",,Whenever a player casts a sorcery they also create a Food.,DIFF,217,217,duel,TRUE,custom,,Conjuration,Round,uncommon,,HaruhiKing,,,,334,Cards,Player,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Twitter
A-10-uation,You get a Tenner emblem.,"You get a Tenner emblem with ""Sacrifice Tenner: Add or subtract 10 from the value of X in any X effect.""",,DIFF,218,218,duel,TRUE,custom,,"Conjuration, Transmutation ",Instant,rare,Tenner,,,,,261,Token,Player,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Puns
Hazy Memory,"Each player discards a card at random, then discards a card, then draws a card.",,,DIFF,219,219,duel,TRUE,"exemplar, custom",main,Divination,Instant,common,,,,,y,280,Cards,All,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,References
Spare Batteries,Create three Duracells.,"Create three colourless Duracell artifact tokens with ""Sacrifice Duracell: You get three energy counters.""",,DIFF,220,220,duel,TRUE,custom,,Conjuration,Instant,rare,Duracell,,,,,291,Token,Player,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Kaladesh
Power Surge,Each player gets two energy counters.,,,DIFF,221,221,duel,TRUE,custom,,Conjuration,Instant,common,,,,,,089,Buff,All,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Kaladesh
Power Siphon,Get one energy counter for each opponent. Each opponent loses 1 life.,,,DIFF,222,222,duel,TRUE,"exemplar, custom",main,"Necromancy, Conjuration",Instant,common,,,,,y,154,Damage,All,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Kaladesh
Power Outage,Each player loses four energy counters.,,,DIFF,223,223,duel,TRUE,custom,,Abjuration,Instant,uncommon,,,,,,208,Destruction,All,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Kaladesh
Energizing Conversion,"Until the end of your turn, you may spend one energy counter to put a +1/+1 counter on a creature you control.",,,DIFF,224,224,duel,TRUE,custom,,Transmutation,Turn,rare,,,,,,041,Buff,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Kaladesh
Land Drops,"Search your library for up to two basic lands and put them into play, then shuffle your library.",,,DIFF,225,225,duel,TRUE,"lite, exemplar, custom",main,Divination,Instant,common,,,,x,y,128,Tutor,Player,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antiquity
Arguing with Brandon,Have a staring contest with target opponent. Winner gains control of up to one of loser's creatures.,,,DIFF,226,226,duel,TRUE,"exemplar, custom",main,Enchantment,Instant,common,,Brandon B,,,y,277,Wacky,"Player, Opponent",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Dammit Brandon
Silly English Knnnnnnuggets,"Until the end of your turn, you may speak in an outrageous accent. If you do not, sacrifice two creatures chosen by target opponent.",,,DIFF,227,227,duel,TRUE,"exemplar, custom",main,"Transmutation, Necromancy",Turn,uncommon,,,,,y,048,Wacky,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
Exploration,Create a token land of each basic land type (including Wastes).,,,DIFF,228,228,duel,TRUE,custom,,Conjuration,Instant,uncommon,"Token Forest, Plains, Swamp, Mountain, Island, Wastes",,,,,363,Token,Player,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Trade!,MINIGAME,"Choose an unchosen opponent. Look at their hand and choose a card. That opponent may copy this effect and choose a new unchosen player. Once all players have been chosen or the effect is not copied, each player puts the card they chose into their hand.",,DIFF,229,229,duel,TRUE,minigame,,Enchantment,Instant,uncommon,,,,,,MG06,Cards,All,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
OVER 9000!,"Until the start of your next turn, all creatures gain +9/+9, vigilance, and ""If damage would reduce this creature's toughness to 0, it reduces it to 1 instead."".",,"Creatures gain +9/+9, vigilance, and ""If damage would reduce this creature's toughness to 0, it reduces it to 1 instead.""",DIFF,230,230,duel,TRUE,custom,,"Transmutation, Abjuration",Round,rare,Reminder,,,,,160,Buff,All,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
Rolling Dice of Thunder,"Choose three target creatures or players. Deal <z-rb>1d4</z-rb> damage to the first, <z-rb>1d6</z-rb> damage to the second, and <z-rb>1d8</z-rb> damage to the third.",,,DIFF,231,231,duel,TRUE,custom,,Evocation,Instant,uncommon,,,,,,095,Damage,Player,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
Tranquility,Destroy all enchantments.,,,DIFF,232,232,duel,TRUE,"exemplar, custom",main,Abjuration,Instant,uncommon,,,,,y,234,Destruction,All,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Aluren Round,"Until the start of your next turn, all players may play creatures with a CMC of 3 or less without paying their casting cost any time they could play an instant.",,Players may play creatures with a CMC of 3 or less without paying their casting cost any time they could play an instant.,DIFF,233,233,duel,TRUE,custom,,Transmutation,Round,uncommon,Reminder,,,,,020,Cards,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
Seraph,"Until the end of your turn, any time a source you control deals damage to a creature, if that creature would go into a graveyard, return it to the battlefield under your control.",,,DIFF,234,234,duel,TRUE,custom,,Necromancy,Turn,rare,,,,,,186,Cards,Player,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
Bowser,"Flip a coin.<z-fc></z-fc><ul><li>If you win the flip, each player with the highest life total loses 5 life.</li><li>If you lose the flip, each player with the lowest life total gains 5 life.</li></ul>",,,Flip,235,235,duel,TRUE,"exemplar, custom",main,Necromancy,Instant,uncommon,,,,,y,218,Life,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
Return of the Weenies,All creatures with power and toughness 2 or below in all graveyards are returned to battlefield under their owner's control.,,,DIFF,236,236,duel,TRUE,custom,,Necromancy,Instant,uncommon,,,,,,249,Cards,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
Alzheimer's,Look at target player's hand and choose three cards. Put those cards on top of their owner's library in any order.,,,DIFF,237,237,duel,TRUE,custom,,"Divination, Abjuration",Instant,uncommon,,,,,,356,Cards,Target Player,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
Renewal Round,"Until the start of your next turn, any time a card would go into any graveyard from play, place it at the bottom of its owner's library instead. At the start of your next turn, all players shuffle their libraries.",,"If a card would go into any graveyard from play, place it at the bottom of its owner's library instead. At the start of [controllingPlayer]'s next turn, all players shuffle.",DIFF,238,238,duel,TRUE,"exemplar, custom",main,Necromancy,Round,rare,Reminder,,,,y,016,Cards,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
Risky Tutor,"You may search your library for a card and put it in your hand. If you do, shuffle your library, then discard a card at random.",,,DIFF,239,239,duel,TRUE,"exemplar, custom",university,Divination,Instant,uncommon,,,,,f,147,Cards,Player,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
Isolation Chambers,"Until the start of your next turn, players can only play spells or activate abilities during their turn.",,Players can only play spells or activate abilities during their turn.,DIFF,240,240,duel,TRUE,"exemplar, custom",main,"Chronomancy, Enchantment",Round,rare,Reminder,,,,y,375,Meta,All,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
Bounce,Return target nonland permanent to its owner's hand.,,,DIFF,241,241,duel,TRUE,"lite, custom",,Abjuration,Instant,common,,,,x,,351,Cards,Target Player,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Super Bounce,Put target nonland permanent on top of its owner's library.,,,DIFF,242,242,duel,TRUE,"lite, custom",,Abjuration,Instant,common,,,,x,,178,Cards,Target Player,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Acceleration Round,SPECIAL EFFECT,"Until the start of your next turn, each player flips a coin during their upkeep. If they win the flip, they draw 2 cards. If they lose the flip, they draw 1 card.","Each player flips a coin during their upkeep.<playerBlock></playerBlock><ul><li>If they win the flip, they draw 2 cards.</li><li>If they lose the flip, they draw 1 card.</li></ul>",Flip,243,243,duel,TRUE,"exemplar, custom",main,Divination,Round,uncommon,Reminder,,,,y,181,Cards,All,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
Goblin Gambit,MINIGAME,"Each player chooses a non-land card in their hand. Simultaneously reveal chosen cards. The creature, enchantment, and artifact with the lowest CMC are put onto the battlefield under their owner's control. Each player who put a card into play loses life equal to that card's CMC. ",,DIFF,244,244,multi,TRUE,minigame,,"Conjuration, Necromancy",Instant,rare,,,,,,MG14,Wacky,All,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
